caliber_mm,projectile,weapon_system,charge_id,bag_color,zone,mv_mps,max_range_m,elev_mil,fuze_set_sec,source
105,M1_HE,M101/M102,1-M67,CARTRIDGE,1,198.1,3510,0,0,TM43-0001-28 p3-9
105,M1_HE,M101/M102,2-M67,CARTRIDGE,2,216.4,4110,0,0,TM43-0001-28 p3-9
105,M1_HE,M101/M102,3-M67,CARTRIDGE,3,237.7,4860,0,0,TM43-0001-28 p3-9
105,M1_HE,M101/M102,4-M67,CARTRIDGE,4,266.7,5950,0,0,TM43-0001-28 p3-9
105,M1_HE,M101/M102,5-M67,CARTRIDGE,5,310.9,7650,0,0,TM43-0001-28 p3-9
105,M1_HE,M101/M102,6-M67,CARTRIDGE,6,376.4,9380,0,0,TM43-0001-28 p3-9
105,M1_HE,M101/M102,7-M67,CARTRIDGE,7,472.4,11270,0,0,TM43-0001-28 p3-9
105,M1_HE,M102/M108,1-M67,CARTRIDGE,1,205.0,3700,0,0,TM43-0001-28 p3-9
105,M1_HE,M102/M108,2-M67,CARTRIDGE,2,223.0,4300,0,0,TM43-0001-28 p3-9
105,M1_HE,M102/M108,3-M67,CARTRIDGE,3,247.0,5200,0,0,TM43-0001-28 p3-9
105,M1_HE,M102/M108,4-M67,CARTRIDGE,4,278.0,6300,0,0,TM43-0001-28 p3-9
105,M1_HE,M102/M108,5-M67,CARTRIDGE,5,325.0,8100,0,0,TM43-0001-28 p3-9
105,M1_HE,M102/M108,6-M67,CARTRIDGE,6,393.0,9600,0,0,TM43-0001-28 p3-9
105,M1_HE,M102/M108,7-M67,CARTRIDGE,7,494.0,11500,0,0,TM43-0001-28 p3-9
105,M84_HC_SMOKE,M101/M102,1-M67,CARTRIDGE,1,198.1,3510,0,0,TM43-0001-28 p3-25
105,M84_HC_SMOKE,M101/M102,2-M67,CARTRIDGE,2,216.4,4110,0,0,TM43-0001-28 p3-25
105,M84_HC_SMOKE,M101/M102,3-M67,CARTRIDGE,3,237.7,4860,0,0,TM43-0001-28 p3-25
105,M84_HC_SMOKE,M101/M102,4-M67,CARTRIDGE,4,266.7,5950,0,0,TM43-0001-28 p3-25
105,M84_HC_SMOKE,M101/M102,5-M67,CARTRIDGE,5,310.9,7650,0,0,TM43-0001-28 p3-25
105,M84_HC_SMOKE,M101/M102,6-M67,CARTRIDGE,6,376.4,9380,0,0,TM43-0001-28 p3-25
105,M84_HC_SMOKE,M101/M102,7-M67,CARTRIDGE,7,472.4,11270,0,0,TM43-0001-28 p3-25
105,M314A3_ILLUM,M101/M102,1-M67,CARTRIDGE,1,198.1,3510,0,0,TM43-0001-28 p3-37
105,M314A3_ILLUM,M101/M102,2-M67,CARTRIDGE,2,216.4,4110,0,0,TM43-0001-28 p3-37
105,M314A3_ILLUM,M101/M102,3-M67,CARTRIDGE,3,237.7,4860,0,0,TM43-0001-28 p3-37
105,M314A3_ILLUM,M101/M102,4-M67,CARTRIDGE,4,266.7,5950,0,0,TM43-0001-28 p3-37
105,M314A3_ILLUM,M101/M102,5-M67,CARTRIDGE,5,310.9,7650,0,0,TM43-0001-28 p3-37
105,M314A3_ILLUM,M101/M102,6-M67,CARTRIDGE,6,376.4,9380,0,0,TM43-0001-28 p3-37
105,M314A3_ILLUM,M101/M102,7-M67,CARTRIDGE,7,472.4,11270,0,0,TM43-0001-28 p3-37
105,M314A3_ILLUM,M102/M108,1-M67,CARTRIDGE,1,205.0,3700,0,0,TM43-0001-28 p3-38
105,M314A3_ILLUM,M102/M108,2-M67,CARTRIDGE,2,223.0,4300,0,0,TM43-0001-28 p3-38
105,M314A3_ILLUM,M102/M108,3-M67,CARTRIDGE,3,247.0,5200,0,0,TM43-0001-28 p3-38
105,M314A3_ILLUM,M102/M108,4-M67,CARTRIDGE,4,278.0,6300,0,0,TM43-0001-28 p3-38
105,M314A3_ILLUM,M102/M108,5-M67,CARTRIDGE,5,325.0,8100,0,0,TM43-0001-28 p3-38
